Country_A,Country_B,Conflict_Type,Year,Duration_Days,Military_Deaths_A,Military_Deaths_B,Civilian_Deaths,Economic_Loss_USD_Billions,Temperature_Avg_C,Rainfall_mm,Terrain_Type,Population_A_Millions,Population_B_Millions,GDP_A_Billions,GDP_B_Billions,Alliance_A,Alliance_B,Weapons_Used,Air_Strikes,Naval_Battles,Sanctions,Refugees_Millions,Ceasefire,Outcome,Latitude,Longitude,Climate_Zone,Resource_Dispute,UN_Involvement,conflict_type_valid,Conflict_Type_Valid,Year_Valid,Population_Valid,GDP_Valid,Conflict_Coordinates_Valid,On_Land,Land_Valid,Total_Deaths,Civilian_Ratio,Military_Deaths_Ratio_A,Military_Deaths_Ratio_B,Civilian_Deaths_IF_Label,Military_Deaths_IF_Label,Civ_Deaths_Valid,Mil_Deaths_Valid,Total_Deaths_Valid,GDP_Loss_Ratio,GDP_IF_Label,GDP_Loss_IF_Label,GDP_IF_Valid,GDP_Loss_IF_Valid,GDP_LOF_Label,GDP_Loss_LOF_Label,GDP_LOF_Valid,GDP_Loss_LOF_Valid,Coords_IF_Label,Coords_IF_Valid,DBSCAN_Cluster,Coords_DBSCAN_Valid,Total_Deaths_DBSCAN_Cluster,Total_Deaths_DBSCAN_Valid
India,Japan,Cold Conflict,2013,1234,26773,10526,176846,435.83,24.8,2379.0,Plains,571.6,507.0,10851.5,12932.3,NATO,NATO,Conventional,1529,87,Yes,14.51,Yes,Stalemate,55.878,78.502,Polar,Water,0,1,0,1,1,0,0,1,1,214145,0.8258236241798781,46.838698390482854,20.761341222879686,1,1,1,1,1,0.018324657960460483,1,1,1,1,1,1,1,1,1,1,0,1,0,1
Brazil,Brazil,Civil War,2013,886,9915,46117,101440,499.96,7.0,47.2,Mountain,1149.2,844.5,2515.4,21461.7,Regional,Regional,Mixed,2928,46,Yes,15.71,No,Victory_B,68.465,-169.618,Tropical,Oil,0,1,1,1,0,0,0,0,1,157472,0.6441780125990653,8.627741037243299,54.60864416814683,1,1,1,1,1,0.02085156253258317,1,1,1,1,1,-1,1,0,1,1,1,1,0,1
Israel,Ukraine,Civil War,1969,464,1948,38405,173852,217.7,-0.1,1431.0,Forest,163.4,288.1,9519.4,9830.4,NATO,Regional,Mixed,319,11,Yes,11.44,Yes,Victory_A,-35.014,-58.427,Tropical,Oil,0,1,0,1,0,0,0,1,1,214205,0.8116150416656941,11.921664626682986,133.30440819160012,1,1,1,1,1,0.01125076228178069,1,1,1,1,1,1,1,1,1,1,2,1,0,1
Russia,Canada,War,1980,1949,21663,5184,131567,365.56,11.9,1713.1,Forest,1269.1,1209.0,19384.1,12765.8,,,Cyber,2449,57,Yes,6.54,Yes,Victory_B,52.932,79.081,Tropical,Water,0,1,0,1,0,0,0,1,1,158414,0.83052634236873,17.069576865495232,4.287841191066997,1,1,1,1,1,0.011370486377873648,1,1,1,1,1,1,1,1,1,1,0,1,0,1
Australia,France,Skirmish,1975,80,34918,16861,181633,304.4,-5.0,2486.0,Desert,120.5,242.6,3276.3,11447.6,,,Nuclear,4493,144,Yes,1.02,No,Stalemate,30.441,9.368,Temperate,Water,0,1,0,1,0,0,0,1,1,233412,0.7781647901564616,289.7759336099585,69.50123660346249,1,1,1,1,1,0.02067387037401775,1,1,1,1,1,1,1,1,1,1,3,1,0,1
UK,Iran,War,1978,480,30243,20972,146559,441.9,33.9,1570.0,Urban,347.1,916.5,6011.1,15086.4,NATO,NATO,Mixed,969,63,No,8.54,Yes,Stalemate,-75.063,-82.229,Tropical,Land,0,1,0,1,0,0,0,1,1,197774,0.7410428064356286,87.1305099394987,22.882705946535733,1,1,1,1,1,0.020945609669392108,1,1,1,1,1,1,1,1,1,1,4,1,0,1
Brazil,Brazil,Proxy War,1986,891,22344,4897,81997,214.23,31.2,2534.5,Plains,1116.1,1120.3,9486.7,9747.6,Regional,Regional,Conventional,3251,192,No,16.42,Yes,Stalemate,21.203,104.733,Arid,Water,0,1,0,1,0,0,0,1,1,109238,0.7506270711657116,20.01971149538572,4.371150584664822,1,1,1,1,1,0.011137915078791532,1,1,1,1,1,1,1,1,1,1,-1,0,0,1
Iran,Australia,Proxy War,1963,1370,20705,11895,13205,417.24,27.2,2641.5,Forest,392.2,462.3,378.2,12317.3,Regional,NATO,Nuclear,1626,185,No,0.51,No,Victory_A,46.604,-112.478,Arid,,0,1,0,1,0,0,0,1,1,45805,0.28828730487938,52.79194288628251,25.73004542504867,1,1,1,1,1,0.032865188452601314,1,1,1,1,1,1,1,1,1,1,5,1,0,1
Germany,Germany,Proxy War,2022,1390,13154,15084,11305,376.28,27.5,719.6,Forest,497.7,883.4,8142.0,13325.8,Regional,NATO,Conventional,2841,104,Yes,8.36,Yes,Victory_B,13.527,0.275,Temperate,Water,0,1,0,1,0,0,0,1,1,39543,0.2858913081961409,26.429576049829215,17.074937740547885,1,1,1,1,1,0.017527646055953566,1,1,1,1,1,1,1,1,1,1,6,1,0,1
China,Japan,War,1978,1472,28331,12234,120910,230.31,28.3,2910.5,Plains,52.6,710.0,883.1,21157.3,Regional,NATO,Mixed,90,176,No,16.57,Yes,Victory_A,62.168,-141.862,Arid,Land,0,1,0,1,1,0,0,1,1,161475,0.7487846415853847,538.6121673003802,17.23098591549296,1,1,1,1,1,0.010449447378450483,1,1,1,1,1,1,1,1,1,1,7,1,0,1
